check_date,direction,origin,destination,market,airport_group,purpose,weeks_ahead,target_weekday,departure_date,departure_weekday,cabin_class,airline,flight_number,aircraft,departure_airport,departure_time,arrival_airport,arrival_time,duration,price,currency,status,api_error,source
2026-08-16 22:09:05,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-09-09,水,Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-09-09 17:45,KIX,2026-09-10 12:35,770,396160,JPY,OK,,SerpApi Google Flights API
2026-08-16 22:09:05,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-09-09,水,Premium Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-09-09 17:45,KIX,2026-09-10 12:35,770,467470,JPY,OK,,SerpApi Google Flights API
2026-08-16 22:09:05,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-09-09,水,Business,フィンエアー,AY 67,Airbus A350,HEL,2026-09-09 17:45,KIX,2026-09-10 12:35,770,825768,JPY,OK,,SerpApi Google Flights API
2026-08-16 22:09:05,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Friday,2026-09-11,金,Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-09-11 17:45,KIX,2026-09-12 12:35,770,396160,JPY,OK,,SerpApi Google Flights API
2026-08-16 22:09:05,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Friday,2026-09-11,金,Premium Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-09-11 17:45,KIX,2026-09-12 12:35,770,467470,JPY,OK,,SerpApi Google Flights API
2026-08-16 22:09:05,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Friday,2026-09-11,金,Business,フィンエアー,AY 67,Airbus A350,HEL,2026-09-11 17:45,KIX,2026-09-12 12:35,770,825768,JPY,OK,,SerpApi Google Flights API
2026-08-16 22:09:05,LOCAL_OUT,HEL,HND,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-09-09,水,Economy,フィンエアー,AY 61,Airbus A350,HEL,2026-09-09 18:30,HND,2026-09-10 13:50,800,396161,JPY,OK,,SerpApi Google Flights API
2026-08-16 22:09:05,LOCAL_OUT,HEL,HND,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-09-09,水,Premium Economy,フィンエアー,AY 61,Airbus A350,HEL,2026-09-09 18:30,HND,2026-09-10 13:50,800,467470,JPY,OK,,SerpApi Google Flights API
2026-08-16 22:09:05,LOCAL_OUT,HEL,HND,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-09-09,水,Business,フィンエアー,AY 61,Airbus A350,HEL,2026-09-09 18:30,HND,2026-09-10 13:50,800,825768,JPY,OK,,SerpApi Google Flights API
2026-08-16 22:09:05,LOCAL_OUT,HEL,HND,Finland-Japan,benchmark,AY_direct_watch,4,Friday,2026-09-11,金,Economy,フィンエアー,AY 61,Airbus A350,HEL,2026-09-11 18:30,HND,2026-09-12 13:50,800,396161,JPY,OK,,SerpApi Google Flights API
