check_date,direction,origin,destination,market,airport_group,purpose,weeks_ahead,target_weekday,departure_date,departure_weekday,cabin_class,airline,flight_number,aircraft,departure_airport,departure_time,arrival_airport,arrival_time,duration,price,currency,status,source
2026-05-21 10:52:54,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,1,Wednesday,2026-05-27,水,Economy,,,,HEL,,KIX,,,,JPY,NO_AY_DIRECT_RESULT,SerpApi Google Flights API
2026-05-21 10:52:54,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,1,Wednesday,2026-05-27,水,Premium Economy,,,,HEL,,KIX,,,,JPY,NO_AY_DIRECT_RESULT,SerpApi Google Flights API
2026-05-21 10:52:54,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,1,Wednesday,2026-05-27,水,Business,,,,HEL,,KIX,,,,JPY,NO_AY_DIRECT_RESULT,SerpApi Google Flights API
2026-05-21 10:52:54,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,1,Friday,2026-05-29,金,Economy,,,,HEL,,KIX,,,,JPY,NO_AY_DIRECT_RESULT,SerpApi Google Flights API
2026-05-21 10:52:54,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,1,Friday,2026-05-29,金,Premium Economy,,,,HEL,,KIX,,,,JPY,NO_AY_DIRECT_RESULT,SerpApi Google Flights API
2026-05-21 10:52:54,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,1,Friday,2026-05-29,金,Business,,,,HEL,,KIX,,,,JPY,NO_AY_DIRECT_RESULT,SerpApi Google Flights API
2026-05-21 10:52:54,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-06-17,水,Economy,,,,HEL,,KIX,,,,JPY,NO_AY_DIRECT_RESULT,SerpApi Google Flights API
2026-05-21 10:52:54,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-06-17,水,Premium Economy,,,,HEL,,KIX,,,,JPY,NO_AY_DIRECT_RESULT,SerpApi Google Flights API
2026-05-21 10:52:54,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-06-17,水,Business,,,,HEL,,KIX,,,,JPY,NO_AY_DIRECT_RESULT,SerpApi Google Flights API
2026-05-21 10:52:54,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Friday,2026-06-19,金,Economy,,,,HEL,,KIX,,,,JPY,NO_AY_DIRECT_RESULT,SerpApi Google Flights API
