check_date,direction,origin,destination,market,airport_group,purpose,weeks_ahead,target_weekday,departure_date,departure_weekday,cabin_class,airline,flight_number,aircraft,departure_airport,departure_time,arrival_airport,arrival_time,duration,price,currency,status,api_error,source
2026-08-07 01:27:05,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-09-02,水,Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-09-02 17:45,KIX,2026-09-03 12:35,770,392550,JPY,OK,,SerpApi Google Flights API
2026-08-07 01:27:05,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-09-02,水,Premium Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-09-02 17:45,KIX,2026-09-03 12:35,770,463210,JPY,OK,,SerpApi Google Flights API
2026-08-07 01:27:05,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-09-02,水,Business,フィンエアー,AY 67,Airbus A350,HEL,2026-09-02 17:45,KIX,2026-09-03 12:35,770,818243,JPY,OK,,SerpApi Google Flights API
2026-08-07 01:27:05,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Friday,2026-09-04,金,Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-09-04 17:45,KIX,2026-09-05 12:35,770,392550,JPY,OK,,SerpApi Google Flights API
2026-08-07 01:27:05,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Friday,2026-09-04,金,Premium Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-09-04 17:45,KIX,2026-09-05 12:35,770,463210,JPY,OK,,SerpApi Google Flights API
2026-08-07 01:27:05,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Friday,2026-09-04,金,Business,フィンエアー,AY 67,Airbus A350,HEL,2026-09-04 17:45,KIX,2026-09-05 12:35,770,818243,JPY,OK,,SerpApi Google Flights API
2026-08-07 01:27:05,LOCAL_OUT,HEL,HND,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-09-02,水,Economy,フィンエアー,AY 61,Airbus A350,HEL,2026-09-02 18:30,HND,2026-09-03 13:50,800,392550,JPY,OK,,SerpApi Google Flights API
2026-08-07 01:27:05,LOCAL_OUT,HEL,HND,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-09-02,水,Premium Economy,フィンエアー,AY 61,Airbus A350,HEL,2026-09-02 18:30,HND,2026-09-03 13:50,800,463210,JPY,OK,,SerpApi Google Flights API
2026-08-07 01:27:05,LOCAL_OUT,HEL,HND,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-09-02,水,Business,フィンエアー,AY 61,Airbus A350,HEL,2026-09-02 18:30,HND,2026-09-03 13:50,800,818243,JPY,OK,,SerpApi Google Flights API
2026-08-07 01:27:05,LOCAL_OUT,HEL,HND,Finland-Japan,benchmark,AY_direct_watch,4,Friday,2026-09-04,金,Economy,フィンエアー,AY 61,Airbus A350,HEL,2026-09-04 18:30,HND,2026-09-05 13:50,800,392550,JPY,OK,,SerpApi Google Flights API
