check_date,direction,origin,destination,market,airport_group,purpose,weeks_ahead,target_weekday,departure_date,departure_weekday,cabin_class,airline,flight_number,aircraft,departure_airport,departure_time,arrival_airport,arrival_time,duration,price,currency,status,source
2026-05-12 12:53:41,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,1,Wednesday,2026-05-20,水,Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-05-20 17:45,KIX,2026-05-21 12:35,770,397738,JPY,OK,SerpApi Google Flights API
2026-05-12 12:53:41,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,1,Wednesday,2026-05-20,水,Premium Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-05-20 17:45,KIX,2026-05-21 12:35,770,469332,JPY,OK,SerpApi Google Flights API
2026-05-12 12:53:41,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,1,Wednesday,2026-05-20,水,Business,フィンエアー,AY 67,Airbus A350,HEL,2026-05-20 17:45,KIX,2026-05-21 12:35,770,829056,JPY,OK,SerpApi Google Flights API
2026-05-12 12:53:41,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,1,Friday,2026-05-22,金,Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-05-22 17:45,KIX,2026-05-23 12:35,770,397738,JPY,OK,SerpApi Google Flights API
2026-05-12 12:53:41,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,1,Friday,2026-05-22,金,Premium Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-05-22 17:45,KIX,2026-05-23 12:35,770,469332,JPY,OK,SerpApi Google Flights API
2026-05-12 12:53:41,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,1,Friday,2026-05-22,金,Business,フィンエアー,AY 67,Airbus A350,HEL,2026-05-22 17:45,KIX,2026-05-23 12:35,770,829056,JPY,OK,SerpApi Google Flights API
2026-05-12 12:53:41,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-06-10,水,Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-06-10 17:45,KIX,2026-06-11 12:35,770,397738,JPY,OK,SerpApi Google Flights API
2026-05-12 12:53:41,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-06-10,水,Premium Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-06-10 17:45,KIX,2026-06-11 12:35,770,469332,JPY,OK,SerpApi Google Flights API
2026-05-12 12:53:41,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-06-10,水,Business,フィンエアー,AY 67,Airbus A350,HEL,2026-06-10 17:45,KIX,2026-06-11 12:35,770,829056,JPY,OK,SerpApi Google Flights API
2026-05-12 12:53:41,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Friday,2026-06-12,金,Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-06-12 17:45,KIX,2026-06-13 12:35,770,397738,JPY,OK,SerpApi Google Flights API
