check_date,direction,origin,destination,market,airport_group,purpose,weeks_ahead,target_weekday,departure_date,departure_weekday,cabin_class,airline,flight_number,aircraft,departure_airport,departure_time,arrival_airport,arrival_time,duration,price,currency,status,api_error,source
2026-07-31 22:49:15,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-08-26,水,Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-08-26 17:45,KIX,2026-08-27 12:35,770,390524,JPY,OK,,SerpApi Google Flights API
2026-07-31 22:49:15,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-08-26,水,Premium Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-08-26 17:45,KIX,2026-08-27 12:35,770,460819,JPY,OK,,SerpApi Google Flights API
2026-07-31 22:49:15,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-08-26,水,Business,フィンエアー,AY 67,Airbus A350,HEL,2026-08-26 17:45,KIX,2026-08-27 12:35,770,814019,JPY,OK,,SerpApi Google Flights API
2026-07-31 22:49:15,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Friday,2026-08-28,金,Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-08-28 17:45,KIX,2026-08-29 12:35,770,390524,JPY,OK,,SerpApi Google Flights API
2026-07-31 22:49:15,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Friday,2026-08-28,金,Premium Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-08-28 17:45,KIX,2026-08-29 12:35,770,460819,JPY,OK,,SerpApi Google Flights API
2026-07-31 22:49:15,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Friday,2026-08-28,金,Business,フィンエアー,AY 67,Airbus A350,HEL,2026-08-28 17:45,KIX,2026-08-29 12:35,770,814019,JPY,OK,,SerpApi Google Flights API
2026-07-31 22:49:15,LOCAL_OUT,HEL,HND,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-08-26,水,Economy,フィンエアー,AY 61,Airbus A350,HEL,2026-08-26 18:30,HND,2026-08-27 13:50,800,390524,JPY,OK,,SerpApi Google Flights API
2026-07-31 22:49:15,LOCAL_OUT,HEL,HND,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-08-26,水,Premium Economy,フィンエアー,AY 61,Airbus A350,HEL,2026-08-26 18:30,HND,2026-08-27 13:50,800,460819,JPY,OK,,SerpApi Google Flights API
2026-07-31 22:49:15,LOCAL_OUT,HEL,HND,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-08-26,水,Business,フィンエアー,AY 61,Airbus A350,HEL,2026-08-26 18:30,HND,2026-08-27 13:50,800,814019,JPY,OK,,SerpApi Google Flights API
2026-07-31 22:49:15,LOCAL_OUT,HEL,HND,Finland-Japan,benchmark,AY_direct_watch,4,Friday,2026-08-28,金,Economy,フィンエアー,AY 61,Airbus A350,HEL,2026-08-28 18:30,HND,2026-08-29 13:50,800,390524,JPY,OK,,SerpApi Google Flights API
2026-07-31 22:49:15,LOCAL_OUT,HEL,HND,Finland-Japan,benchmark,AY_direct_watch,4,Friday,2026-08-28,金,Premium Economy,フィンエアー,AY 61,Airbus A350,HEL,2026-08-28 18:30,HND,2026-08-29 13:50,800,460819,JPY,OK,,SerpApi Google Flights API
2026-07-31 22:49:15,LOCAL_OUT,HEL,NGO,Finland-Japan,base,AY_direct_watch,4,Friday,2026-08-28,金,Business,フィンエアー,AY 79,Airbus A350,HEL,2026-08-28 00:45,NGO,2026-08-28 19:35,770,814019,JPY,OK,,SerpApi Google Flights API
